KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   51   59    1
Estimate
EstimationVariance
 9.3179207     0.57117134    
 9.5569811     0.71178544    
 8.5716925     0.81426030    
 6.5948992     0.86857271    
 4.7598181     0.86508209    
 3.4063408     0.80593908    
 3.5547011     0.70021009    
 3.0998969     0.54978400    
 2.4401932     0.37148863    
 1.9395963     0.18709232    
 2.5343721     0.11979239    
 4.1554122     0.86797073E-01
 5.9629936     0.78754671E-01
 7.6948214     0.22695428    
 8.4335623     0.28153440    
 8.2983408     0.22658624    
 7.4732938     0.12272457    
 5.9311886     0.18016891    
 4.0662470     0.26464140    
 2.6533227     0.32426977    
 1.6981970     0.38153282    
 1.1479467     0.39979789    
 1.1335189     0.37582895    
 1.6141927     0.37059411    
 10.999936     0.39150724    
 12.106367     0.26108071    
 14.734240     0.13496377    
 19.390049     0.67330949E-01
 22.594398     0.50886605E-01
 20.598261     0.18621671    
 18.081577     0.22197016    
 15.645611     0.15056422    
 14.861361     0.25709065E-01
 15.695447     0.22531034E-01
 13.379840     0.90339579E-01
 9.9731731     0.25624609E-01
 5.8920126     0.12943812    
 3.0010064     0.14501488    
 4.7765274     0.16839682    
 9.8987141     0.17805985    
 14.110272     0.12366973    
 15.232223     0.10750896    
 14.323459     0.16163228    
 13.401567     0.22044143    
 12.757477     0.29255551    
 12.361738     0.33435994    
 12.228882     0.31906319    
 11.840322     0.25308144    
 10.169864     0.21437450    
 9.0895100     0.30523875    
 9.2492781     0.46553880    
 9.3720102     0.62385046    
 8.9122467     0.75633597    
 7.3808918     0.84599847    
 7.0941420     0.88302958    
 5.4672499     0.87442666    
 4.5463161     0.80708152    
 3.7518249     0.69565117    
 3.1662431     0.54637504    
 3.2390957     0.38342333    
 3.3914783     0.24716029    
 4.3883548     0.17452964    
 5.8578668     0.69157459E-01
 7.6336994     0.10462823    
 8.8936539     0.22831741    
 9.0274401     0.25234768    
 8.3683605     0.15611699    
 7.0953569     0.27498944E-01
 4.9706402     0.14785951    
 2.9453790     0.19627735    
 1.6312760     0.25717258    
0.87244093     0.32505202    
0.53775090     0.32394859    
0.62267756     0.26508203    
 1.2764139     0.26655999    
 12.481995     0.36433089    
 13.782347     0.19672196    
 16.203196     0.43254949E-01
 18.686728     0.47651436E-01
 20.245264     0.97839445E-01
 19.234161     0.19716045    
 16.671600     0.18880758    
 13.828052     0.78498192E-01
 14.111018     0.46241082E-01
 14.907863     0.78874491E-01
 12.745280     0.99933803E-01
 9.2647591     0.78028969E-01
 4.7521052     0.11350650    
 1.9950846     0.78869015E-01
 5.3128276     0.15726805    
 10.273754     0.16380011    
 14.518702     0.66755243E-01
 15.503648     0.11294342    
 14.785472     0.20528044    
 13.914416     0.26455414    
 13.512464     0.31496906    
 12.817111     0.34294567    
 12.493770     0.32854110    
 11.488668     0.29118714    
 9.3644314     0.29736727    
 8.9730568     0.38918060    
 9.1172733     0.52999854    
 9.0265350     0.67411590    
 8.4936304     0.78770596    
 7.5007038     0.86907142    
 6.7654262     0.89929867    
 6.1961141     0.87331909    
 5.2887807     0.80456489    
 4.5302415     0.69808912    
 3.8011365     0.55583841    
 4.3518772     0.41546339    
 5.0360579     0.30240208    
 6.3718443     0.20982461    
 8.0719318     0.12395275    
 9.6229324     0.15615913    
 10.090226     0.23082890    
 9.4734983     0.23574848    
 8.2321205     0.14124760    
 6.3875480     0.90311028E-01
 3.9483068     0.13205235    
 1.7722577     0.10833222    
0.78246301     0.20953639    
0.29254219     0.28402460    
0.65472469E-01 0.24962157    
0.25444007     0.13914317    
 1.1052567     0.18365283    
 13.325015     0.32894886    
 14.845070     0.14590797    
 16.359020     0.40424962E-01
 16.798517     0.22103969E-01
 18.247236     0.13257855    
 17.338560     0.19880691    
 15.002767     0.14994285    
 12.432036     0.22923160E-01
 14.012239     0.84336631E-01
 14.040381     0.13704740    
 11.942819     0.13350692    
 8.5173311     0.11037112    
 3.5396354     0.76769903E-01
 1.5948461     0.45025054E-01
 6.0077586     0.16719547    
 10.881430     0.14480582    
 15.031616     0.32828275E-01
 15.814549     0.14753512    
 15.128499     0.23251566    
 14.262802     0.27594891    
 13.314764     0.31503808    
 12.758333     0.34093952    
 12.155222     0.33533189    
 10.818308     0.32348865    
 9.2809620     0.35645568    
 8.5442066     0.44991854    
 8.2847462     0.58065933    
 8.6830292     0.71351910    
 7.9637976     0.81952161    
 7.1347680     0.89129651    
 6.7355957     0.90593219    
 6.2015486     0.87920821    
 5.4623246     0.80541563    
 4.8642015     0.69927835    
 4.7590632     0.57435185    
 5.4810305     0.45189705    
 6.8167858     0.34056246    
 8.5002022     0.23254192    
 10.482029     0.14773247    
 11.580015     0.16106701    
 11.036034     0.23059821    
 9.6573639     0.24141105    
 7.8681278     0.18906277    
 5.6150074     0.16403651    
 2.9590282     0.10168220    
0.88147217     0.43546505E-01
0.34087199     0.20780721    
-.55693787E-01 0.26162273    
-.20418285     0.18631428    
