KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
 2   51   59    1  5.5000000      5.5000000      .50000000      5.00000      5.00000      1.00000       1
Estimate
EstimationVariance
 8.7339220      .42668700    
 8.9502780      .33577280    
 9.7724690      .37458880    
 10.235370      .53954500    
 10.678970      .71177290    
 11.103140      .85132450    
 11.635390      .94085380    
 12.751410      .88501270    
 13.410430      .87471430    
 14.027570      .83188670    
 14.562030      .76553430    
 18.724520      .75190940    
 16.658910      .62088780    
 19.813790      .61488340    
 18.724490      .55567190    
 16.853900      .51955250    
 13.400140      .45550890    
 10.586540      .37997180    
 7.3407670      .29695410    
 6.9417500      .32326950    
 6.6287360      .48734420    
 6.3762780      .68148710    
 8.0292690      .92492690    
 8.3827740      1.1171020    
 10.207840      .17445210    
 12.026550      .12019770    
 14.618680      .25272940    
 17.599120      .26710570    
 21.317400      .15403570    
 23.181950      .74728240E-01
 17.778080      .13622570    
 9.5245540      .93721960E-01
 5.4767430      .11901750    
 1.8215820      .81839580E-01
 4.3628400      .23063770    
 7.1241070      .25618210    
 10.744790      .17036150    
 13.177050      .12160260    
 13.572430      .17215040    
 14.099100      .11438630    
 16.042890      .16419020    
 17.290800      .85297800E-01
 15.182670      .17219020    
 12.253400      .23626900    
 9.3340630      .17283690    
 7.2636690      .85653880E-01
 7.1699080      .29435930    
 6.9135630      .45979140    
 6.6775890      .54663940    
 6.5183860      .55609450    
 8.5556530      .56144510    
 8.7774760      .49106460    
 9.0652940      .45485740    
 10.098220      .50420880    
 10.584530      .61295230    
 10.852180      .79392710    
 9.0745340      .86235110    
 9.9981510      .94150970    
 12.722640      .85461150    
 13.272270      .82876810    
 13.768140      .77701180    
 14.171030      .70593600    
 18.793990      .70950060    
 16.385270      .55959500    
 19.837240      .56214090    
 18.579390      .49920850    
 16.434640      .46396110    
 12.887750      .40298980    
 9.7902140      .29768770    
 6.6914630      .16688700    
 6.4178040      .27104480    
 6.2365410      .49370650    
 6.0834670      .70672760    
 7.9622010      .96376000    
 8.3777770      1.1536660    
 11.687400      .12584260    
 12.846930      .13982230    
 15.705250      .25959740    
 19.295430      .25905620    
 24.121270      .16010540    
 22.825000      .65834000E-01
 12.292160      .12912810    
 2.1416680      .24992220E-01
 4.0251210      .10886640    
 2.9463110      .12350080    
 8.6233430      .24859180    
 10.990090      .25979250    
 13.336320      .11555140    
 13.232240      .11378370    
 12.768960      .13229120    
 14.230390      .80137990E-01
 15.889480      .15892280    
 17.692740      .70060950E-01
 16.730940      .20150590    
 13.919880      .23850500    
 9.8055510      .14286320    
 6.6180210      .12213100    
 6.4387420      .29398060    
 6.1894860      .43020440    
 6.0117150      .51232370    
 5.9133770      .53097350    
 7.9405350      .57463590    
 8.3719250      .55130550    
 6.2779480      .46253560    
 6.9963090      .52502880    
 7.7693960      .62333580    
 8.6797570      .71711220    
 8.8709440      .89593030    
 9.8304360      .95417520    
 12.671980      .80887620    
 13.105880      .76886670    
 13.476060      .70917740    
 13.745830      .63174070    
 13.891300      .54917750    
 16.141040      .47656800    
 19.968390      .48395510    
 18.537740      .42276570    
 16.078390      .40181840    
 12.453750      .34953650    
 9.1145790      .21831620    
 6.1238310      .26136840E-01
 6.0315290      .29336520    
 5.9408640      .53794910    
 5.8680420      .75236580    
 7.9767260      1.0156520    
 8.4393280      1.1967240    
 11.590750      .16964630    
 12.908950      .19070530    
 16.042370      .23943240    
 20.198760      .19468010    
 23.880660      .84962440E-01
 18.013110      .13229060    
 6.6016550      .92950770E-01
 4.8599800      .10994480    
 7.8128580      .11090000    
 9.3329280      .14982720    
 10.474080      .26501960    
 11.423270      .20609780    
 12.180590      .13473990    
 10.369410      .16007710    
 11.109300      .13878780    
 14.915270      .15155600    
 16.649690      .16783480    
 18.706920      .16646160    
 17.766360      .21694610    
 14.294310      .22287370    
 9.6080310      .16653740    
 6.1501330      .18144180    
 5.9729040      .30182190    
 5.6854350      .43191460    
 5.4477220      .50972840    
 5.2776440      .52602640    
 7.9571760      .63254920    
 8.4356720      .63637720    
 5.7310560      .50973950    
 6.3435750      .57580480    
 7.0804480      .65954580    
 7.8630720      .72890740    
 8.6231980      .76890570    
 7.6369390      .97641900    
 11.070740      .76154400    
 11.340180      .71727350    
 11.450740      .65740460    
 11.399450      .57494800    
 11.175530      .47920490    
 13.684270      .39950270    
 18.905250      .40924930    
 17.596190      .35064820    
 15.089680      .35582490    
 12.404720      .31610970    
 8.9075890      .19744820    
 6.6789220      .16547660    
 5.9017520      .38492660    
 5.5519800      .61562450    
 5.4385430      .82304700    
 9.2491260      1.1294160    
 10.228110      1.3178670    
 11.464810      .21798970    
 12.933500      .18449980    
 16.392520      .20632900    
 20.851390      .14079420    
 21.906080      .88275030E-01
 14.007980      .12530430    
 5.4106100      .36794150E-01
 8.8435860      .15880890    
 13.538580      .36352520E-01
 11.905920      .16138800    
 10.079050      .19136290    
 11.163730      .18168300    
 9.5728780      .17857970    
 7.1608200      .16572010    
 9.7779870      .16291750    
 15.657850      .16248090    
 17.824490      .17240270    
 19.875950      .19490250    
 19.010560      .19163710    
 14.554450      .21017730    
 9.2102210      .18038950    
 5.6540320      .16812540    
 5.4539250      .30166220    
 5.1224110      .43648890    
 4.8167400      .50527430    
 4.5716200      .51348560    
 8.0197800      .69945470    
 4.6415410      .49665140    
 5.2396370      .53429450    
 6.0352420      .60510090    
 6.9555600      .67686410    
 7.9023490      .72295090    
 8.7992560      .73446540    
 7.6637850      .97399200    
 11.342700      .67704660    
 11.590790      .62267890    
 11.671540      .55695570    
 11.595880      .45995390    
 11.355920      .34220910    
 14.508050      .26877470    
 19.862340      .26460810    
 18.172370      .26021440    
